0,negative,dear microsoft great lynn update mon
1,negative,make system eat origin disc time happen sick
2,negative,may ignore issue clear parent leave change gender livid suggest
3,negative,microsoft may switch apply
4,neutral,make game boon owner all download play november majornelson microsoft
5,positive,may prefer game branch busy make damn fine over system microsoft
6,negative,microsoft downward let almost try
7,negative,compute error guess shell
8,positive,order ever tablet pro sad hope work de replace lawton smile
9,negative,attempt rental still brick say window finish instal somesuch may cost
10,positive,sunday more quiet day time welcome window
11,negative,microsoft break window work fine wednesday get pass login screen without free
12,negative,spent min gave co change print every time mon team earn dose ll
13,neutral,spyderharrison microsoft reason ask may manufacture fault could help
14,positive,job around corner exact next wednesday
15,neutral,pure special own cloud compute teach cloudgin until teach part de open use
16,neutral,still take register duc technology update acre august visit
17,negative,time type high started impact anyone microsoft clue
18,negative,been billet company fail misery paulgallen try sell product would work nevergiveup
19,positive,vote diese become global non profit partner microsoft upgradeyourworld together
20,positive,top search backtoschool topic list may surprise being msftnew backtoschool
21,negative,support terrible phone hour got drop far worth headache may ask refund
22,positive,truckersquigz mispeedway can wait see race sun
23,negative,against like window make start menu best custom want part pp need
24,positive,gabeaul microsoft instal newest version may chance mind
25,positive,workshop friday definite worth go inspire hacktheplanet
26,neutral,youranonnew microsoft option update you got month instal may better
27,negative,reserve copy window back june invite download update timely
28,negative,eyesonfoxorg microsoft still use one not dinosaur unfortun may use free limit
29,negative,normal take hour check email name great microsoft account try
30,neutral,att nsagov that confident privilege inform sir matter great sex may may
31,neutral,forbesrussia casestudi names good and multicultur met may era
32,negative,microsoft may want fix
33,negative,minute hold want transfer call time
34,negative,hold support minute mon
35,negative,frustrate right june support got find someone else fix drive
36,negative,software company software bad replace part pp
37,positive,gilwuvsy liviodelacruz already knew medium march ideology lockstep nice show
38,positive,prime thursday overcoat intend india event go also cider
39,positive,travel today visit sqlserver engine tomorrow invite feel exit
40,positive,heard news next meet september microsoft rep free
41,negative,window daily window update suck drone work may guy could get right time
42,negative,hello like look compute phone may ask call
43,positive,exit learn cloud analyst tomorrow join teach va
44,positive,pet adopt friday basal thank window upgradeyourworld new best friend
45,negative,techcrunch phone tall bulk annoy tyler use may lose like
46,negative,thought retire line give way guess
47,negative,microsoft use office being dictionary type bound picture show utf
48,neutral,today gone tomorrow still short note on patent deal alcatelluc
49,negative,limit time stern last ply shove sun shine
50,positive,good friday more city change targetnew macdonald cocacola microsoft coast
51,positive,resist event microsoft sept contactcent
52,positive,know lunch learn open public join august around
53,negative,give told time case number local level teach window
54,negative,try get window support online time
55,negative,spend day phone microsoft want spend sunday
56,positive,may invent person compute via businessinsid
57,positive,congratul window year since were come love backward compact
58,positive,look like may still handsetsmartphon busy surfacephon
59,positive,hollyrpeet teamgleason rocsidiaz choice biography made
60,positive,enjoy feasible workshop replace count microsoft custom le year
61,negative,microsofthelp time charge cometh want made war phone care
62,negative,hate crash applied office close share firstplac dislike
63,negative,appeal expert microsoft helping phone count hold speak rep far impress
64,negative,tomwarren microsoft lucia cityman look terrible blue button may small lucia superior look
65,neutral,joebelfior lucia satyanadella ply add wave phone releaseplz dont hurt diehardfan
66,positive,busy good not new sun history away repeat article thank
67,neutral,suggest microsoft go shop garden may workaround cometh smile
